0	583
1	100
2	57
3	27
4	26
5	16
6	26
7	23
8	25
9	24
10	22
11	21
12	27
13	23
14	22
15	23
16	26
17	24
18	22
19	28
20	26
21	37
22	26
23	30
24	35
25	32
26	39
27	42
28	43
29	41
30	39
31	46
32	45
33	52
34	96
35	97
36	84
37	67
38	69
39	59
40	68
41	72
42	85
43	93
44	58
45	86
46	89
47	96
48	100
49	109
50	106
51	110
52	119
53	127
54	148
55	142
56	264
57	174
58	182
59	224
60	170
61	176
62	176
63	185
64	175
65	208
66	215
67	211
68	203
69	229
70	251
71	460
72	468
73	498
74	205
75	229
76	196
77	203
78	203
79	215
80	210
81	180
82	197
83	179
84	187
85	174
86	179
87	232
88	203
89	177
90	180
91	207
92	198
93	194
94	188
95	199
96	198
97	177
98	198
99	175
100	191
101	206
102	217
103	194
104	195
105	182
106	183
107	177
108	182
109	166
110	187
111	167
112	199
113	204
114	171
115	178
116	194
117	199
118	209
119	187
120	195
121	215
122	187
123	197
124	219
125	204
126	235
127	219
128	219
129	230
130	249
131	219
132	281
133	231
134	238
135	265
136	248
137	291
138	303
139	280
140	287
141	307
142	307
143	288
144	294
145	359
146	412
147	436
148	563
149	548
150	614
151	674
152	703
153	828
154	829
155	963
156	1018
157	1039
158	1034
159	1007
160	981
161	962
162	927
163	966
164	878
165	735
166	694
167	576
168	466
169	551
170	485
171	409
172	384
173	339
174	335
175	302
176	290
177	301
178	286
179	286
180	303
181	290
182	253
183	262
184	298
185	291
186	302
187	299
188	264
189	297
190	286
191	286
192	296
193	293
194	334
195	398
196	380
197	403
198	404
199	429
200	565
201	492
202	465
203	394
204	426
205	427
206	389
207	412
208	342
209	361
210	355
211	390
212	350
213	364
214	368
215	327
216	309
217	316
218	307
219	290
220	277
221	268
222	269
223	267
224	261
225	232
226	232
227	201
228	212
229	189
230	213
231	187
232	206
233	187
234	181
235	153
236	137
237	99
238	104
239	94
240	116
241	135
242	115
243	116
244	116
245	123
246	114
247	102
248	92
249	114
250	97
251	129
252	130
253	199
254	217
255	149
